CUSTOMER_ID,FIRST_NAME,LAST_NAME,DATE_OF_BIRTH,EMAIL,PHONE,STREET_ADDRESS,CITY,STATE_CODE,POSTAL_CODE,KYC_STATUS,RISK_SCORE,CREATED_AT,UPDATED_AT
5558624886,Steven,Pierce,1963-02-23,lanenathan@example.com,200-738-3863x6747,696 Price Meadow,Heatherville,ND,88629,VERIFIED,73.5,2023-07-16 14:44:09,
4692205802,George,Hart,1963-11-04,allenamy@example.org,350.801.7427,2584 Ferrell Grove Apt. 524,Lake Christyberg,MH,34242,VERIFIED,58.81,2020-10-30 15:51:05,2020-11-21 21:40:25
2039587369,Andrea,Parrish,1960-02-17,heather13@example.org,(827)580-8643x9198,0199 Samuel Route Apt. 520,East Lancehaven,ID,78098,VERIFIED,50.18,2025-02-20 12:42:07,
7282533799,Michelle,Hayes,1951-05-15,collinsbrian@example.net,001-212-285-5200x762,754 Shelton Isle,Kimberlyburgh,ME,71341,VERIFIED,16.61,2020-11-23 15:06:47,2025-04-28 12:13:27
1531561750,Christopher,Hill,1997-11-28,oliviagonzalez@example.org,(424)588-4666x400,5145 Jeffrey Square Suite 546,West Julietown,ND,81040,VERIFIED,50.81,2022-11-19 17:21:36,
8941475980,Brady,Schwartz,1960-11-20,edwardlopez@example.org,4699947488,94128 Gary Stravenue Apt. 850,Bradleystad,AL,33370,PENDING,88.6,2020-01-19 21:58:55,2025-09-18 22:07:57
3213694956,Rebecca,Schroeder,1944-02-15,jamie57@example.net,(293)744-2380,94038 Lisa Rapid Suite 704,Paulfurt,PR,76904,VERIFIED,21.3,2025-02-25 09:27:33,2021-10-26 03:55:26
6355962933,Joanna,Serrano,1999-07-29,krobinson@example.org,974.765.9274x10794,05399 Jorge Cliffs,West Julie,NY,69475,VERIFIED,87.97,2020-01-31 19:30:46,
2144688501,Kyle,Richards,1937-05-19,dunnnicholas@example.com,965.811.4927,93458 Burke Corners Apt. 472,Warrenchester,SD,06667,VERIFIED,93.82,2023-03-05 19:15:08,
5775830969,Ryan,Cooley,1945-01-11,adamjones@example.com,+1-711-266-8311x332,3149 Brandon Orchard,East Isaac,IN,60503,VERIFIED,12.36,2024-06-15 08:56:42,
7815670917,Kim,Jones,1987-10-03,kelly12@example.org,(540)358-0952x6077,7650 Carol Ferry,West Collinfurt,ID,73466,VERIFIED,66.43,2022-04-20 01:09:39,
9978042742,Sherry,Rodriguez,1957-02-14,carterbryan@example.com,3312511529,09773 Leslie Rapid Suite 408,Mitchellchester,TN,47351,PENDING,41.46,2025-02-02 09:37:33,2020-11-02 17:14:28
7992516112,Christine,Glass,1964-06-27,ramostara@example.org,(436)704-0478x434,1541 Armstrong Field,Carrollchester,KY,12156,VERIFIED,54.5,2022-01-14 20:08:25,
9522373456,Tracy,Turner,1956-12-14,vasquezsean@example.org,001-722-476-9994x922,2414 Patterson Corner,Lisashire,MT,16691,VERIFIED,6.48,2022-11-08 03:47:49,
