TRANSACTION_ID,ACCOUNT_ID,TRANSACTION_TS,VALUE_DATE,TRANSACTION_TYPE,CHANNEL,AMOUNT,CURRENCY_CODE,DESCRIPTION,MERCHANT_NAME,MERCHANT_CATEGORY,COUNTERPARTY_ACCOUNT,STATUS,IS_SUSPICIOUS,REFERENCE_CODE
7412534101,6164850791,2021-05-17 18:59:15,2021-05-17 18:59:15,CREDIT,ONLINE,11.19,USD,Traditional and these interesting in.,Sandoval-Nelson,investment,UQTO60718320711631,FAILED,False,48386587-748c-4852-a366-14b96469ba00
9125248626,6191940266,2020-12-21 03:25:44,2020-12-22 03:25:44,FEE,ONLINE,185.97,USD,Official whom second science face method.,Gardner LLC,eye,BNBI96589778011872,PENDING,False,3c098774-4e06-4772-952b-cd52eaf8acdb
4074173038,2997124939,2023-02-18 06:31:27,2023-02-20 06:31:27,INTEREST,BRANCH,52.8,USD,Ability office four certainly space result.,Anderson-Wright,hit,KOZX48283411189228,COMPLETED,False,afd3cd65-29fe-4cb7-b6a2-f9b7e20a1fd6
2410038401,9292938526,2021-07-24 17:15:34,2021-07-25 17:15:34,FEE,ATM,95.64,USD,Drive table when bring action available.,Sullivan PLC,outside,BEHH17183595743636,PENDING,False,209a1a05-8880-4a7d-85f3-be767efa18aa
5359145457,4382853450,2024-08-21 21:17:50,2024-08-22 21:17:50,CREDIT,MOBILE,25.63,USD,Probably represent top pay reality pattern mean know.,Reed Inc,crime,PXVT31081924142697,PENDING,False,62a654ac-aee6-4beb-ad3c-0641f84c5f39
8284710580,5632988698,2020-08-29 16:32:58,2020-08-29 16:32:58,CREDIT,ATM,31.1,USD,Southern late family serve person.,"Young, Wall and Harrison",moment,MFJH92185218812644,PENDING,False,b3739f80-4526-4583-88be-0a0135167373
9206106303,7810998584,2023-08-23 19:48:12,2023-08-24 19:48:12,DEBIT,BRANCH,11.27,USD,Many his enter.,Scott-Guzman,decade,ARZX22867243990364,COMPLETED,False,5c8cc4c5-21d3-4467-8745-7a9b4b7ead15
2993459528,3648314251,2026-01-24 06:27:35,2026-01-25 06:27:35,INTEREST,ONLINE,196.96,USD,Total difficult gun above number could window.,Castaneda Group,cost,WBQJ66373273638609,FAILED,False,5d6d7de9-c48c-401c-985c-c9c49497cd81
9321122731,722031042,2020-03-21 12:58:49,2020-03-21 12:58:49,CREDIT,MOBILE,81.53,USD,Edge carry art officer.,Walker-Hubbard,feel,EMMP21064484269885,FAILED,False,9484574c-d273-4224-b606-336947c4235f
3435515936,8020855594,2022-08-15 14:14:17,2022-08-16 14:14:17,CREDIT,ATM,8.42,USD,Force have care much deal serve.,"Ramirez, Sanford and Mcclure",thousand,MYMW37608599138216,COMPLETED,False,7c500f2d-a4be-4734-b3a6-38fa2ffaa9d0
284921197,9679059528,2024-06-02 03:46:17,2024-06-02 03:46:17,TRANSFER,MOBILE,34.52,USD,Sense see more speak their friend.,Walker Group,make,VSSL82215330630938,FAILED,False,df917fea-a53a-497d-981e-dc83e8ace761
4455368965,8276141245,2024-07-07 20:01:35,2024-07-08 20:01:35,FEE,ONLINE,52.72,USD,Window high significant cover month never.,Foster-Williams,learn,XSMA38140614396610,COMPLETED,False,7f7f9907-18c4-40f5-a3b3-482c02c9eb02
5654055095,4402887351,2021-05-21 20:07:52,2021-05-23 20:07:52,CREDIT,ONLINE,27.15,USD,My store court beautiful game.,"Cross, Cannon and Howard",forward,XUVR61038454759525,COMPLETED,False,5fc19303-6c37-403d-9027-fec8a73dd7be
5754675528,8329804382,2020-04-26 00:31:12,2020-04-26 00:31:12,INTEREST,BRANCH,193.76,USD,Place message yeah talk natural report example finish.,"Torres, Thornton and Harrison",edge,AISE53850604360459,PENDING,False,102a57d1-e432-47e2-99b3-271a60ac74bc
6818431941,5575761927,2022-01-24 12:18:03,2022-01-24 12:18:03,CREDIT,BRANCH,4.94,USD,Unit board feeling call those word strategy.,Hall-Frank,then,QFMJ41038874925470,PENDING,False,727d70cf-5a8d-44a4-932e-715ca61c308e
4124658901,4259067503,2023-06-01 07:13:07,2023-06-02 07:13:07,TRANSFER,MOBILE,160.8,USD,International consumer campaign.,Rodriguez-Olsen,simply,TBQN99126515096494,PENDING,False,792b5627-29f7-4fcd-b846-c260e312965a
7875114434,2537886181,2023-10-30 17:49:36,2023-10-31 17:49:36,CREDIT,ONLINE,50.92,USD,Hard protect peace now happy.,"Fritz, Williams and Wells",nation,CCOP03182559809015,PENDING,False,30d50169-a299-43c4-8615-4ebbfa5420ff
9571517461,1945733720,2026-01-03 08:06:06,2026-01-04 08:06:06,DEBIT,BRANCH,74.55,USD,Her town top authority.,"Johnson, Wright and Greer",common,CUKJ70476849943320,PENDING,False,4787ef0e-5582-4a13-ad13-d49c7bd85c9e
8596239084,5786477810,2022-11-22 09:35:33,2022-11-22 09:35:33,INTEREST,BRANCH,107.81,USD,Firm yourself party rest test water court.,"Lewis, Pitts and Berger",but,BJLT22229254737395,FAILED,False,428b0020-5574-4f92-bd0b-49689216005a
2935597667,2840995702,2020-04-10 23:00:20,2020-04-12 23:00:20,INTEREST,BRANCH,73.02,USD,Artist generation need heavy camera.,Meadows Group,behind,WYYL50210937108975,PENDING,False,5815c28d-e1c1-4551-82d4-1ab718c7a97a
7469891792,7014138837,2025-12-17 11:16:45,2025-12-17 11:16:45,INTEREST,BRANCH,114.01,USD,Decide fill cause fight arrive.,Mccoy-Brown,enjoy,VBBD56307986934134,COMPLETED,True,def91b2c-1ae4-40e8-84c4-d39f7386f3f6
7603902872,207498663,2024-07-04 04:09:29,2024-07-06 04:09:29,INTEREST,ATM,72.18,USD,Opportunity including worker method.,"Garcia, Stewart and Ross",song,TUJY13346890671538,PENDING,False,cbef352e-241b-453f-956c-40a09a7c08a3
507611557,4151766347,2020-10-25 02:59:59,2020-10-26 02:59:59,TRANSFER,BRANCH,164.03,USD,Class group along record.,Charles-Price,forward,WAVP63482570071090,FAILED,False,90d40805-695d-43dd-b96d-b6158b1e61f9
9225020454,7916948247,2022-01-15 14:15:29,2022-01-17 14:15:29,INTEREST,MOBILE,33.12,USD,Beat think employee job.,Bush-Hayes,position,GQKK52647186438354,FAILED,False,1f9a63b4-5e11-4356-a2ba-808dd3ae2f9d
2320767260,8780937859,2023-12-11 20:24:02,2023-12-11 20:24:02,FEE,MOBILE,97.2,USD,Everything beautiful weight door alone of.,Brown-Estrada,someone,SGJT14584222908970,COMPLETED,False,fa842f73-078f-4a95-bbef-ed75c4df904f
7982423622,5194769488,2021-07-17 03:27:47,2021-07-17 03:27:47,DEBIT,ONLINE,175.34,USD,Put toward these.,Hanson PLC,visit,YVXN14267498582849,COMPLETED,False,69ac4e53-b667-403b-be99-a0a1bf763ef6
7263808341,9910979693,2025-09-20 06:06:19,2025-09-20 06:06:19,DEBIT,ONLINE,18.51,USD,Worker miss treatment itself thousand concern.,Watkins Inc,stand,YUJQ59227179270569,FAILED,False,3175d992-7205-4830-8c04-578674ff061d
1944824094,9846473257,2024-02-01 12:53:54,2024-02-01 12:53:54,DEBIT,MOBILE,10.65,USD,Have Republican as whom shake.,Perez LLC,forward,YOSR65678368165360,PENDING,False,2aaa2a69-48d6-416a-8b96-ade180ce871d
2940141291,6981562040,2021-09-29 14:39:43,2021-09-29 14:39:43,FEE,ONLINE,70.58,USD,Such responsibility nearly total attack.,Williams and Sons,manage,CECU28547533983866,FAILED,False,46d95551-193b-4404-805a-f38786dc44c3
5114256333,6706861023,2020-08-12 09:11:20,2020-08-12 09:11:20,TRANSFER,ONLINE,98.04,USD,Series since manager she read simply.,Benson-Montgomery,buy,DNAE21216298858921,COMPLETED,False,52d4beae-ce42-4744-b3c8-467fe685a1ce
2604380827,2144143930,2023-06-15 16:04:27,2023-06-17 16:04:27,CREDIT,ONLINE,57.95,USD,Third ahead on sense support question.,Taylor-Bell,huge,GEWT12322841142266,PENDING,False,db50c9bd-fc04-4be3-9347-efe9abd4e450
8225113374,1235543210,2020-03-09 21:29:40,2020-03-10 21:29:40,DEBIT,BRANCH,49.1,USD,Process seat project.,"Pineda, Mccann and Yang",surface,BCON50881068269489,FAILED,False,70605080-cd62-448e-8663-85e40c67914a
7355625098,4304567336,2026-01-10 19:04:31,2026-01-10 19:04:31,DEBIT,ATM,132.81,USD,Science cut TV event green no let.,"Foster, Green and Oneill",production,ZOUR54572282691369,COMPLETED,False,ddb8339d-958d-4563-9edd-37f3ad5a7baf
3142096059,887562681,2025-05-07 12:51:45,2025-05-08 12:51:45,INTEREST,BRANCH,20.44,USD,Road second five anyone mind media boy.,Gray PLC,capital,SEIK74718958919969,COMPLETED,False,33df9492-2822-4571-9d60-bf5f99549607
4710150691,1563498652,2022-12-30 20:26:07,2022-12-31 20:26:07,DEBIT,MOBILE,258.09,USD,Material city whole.,Miller-Graham,many,RGKQ08349563065280,FAILED,False,86c834ae-4146-4532-9b41-a5d16c2f9c91
6884044552,2388894926,2022-03-03 20:19:41,2022-03-05 20:19:41,TRANSFER,MOBILE,301.55,USD,Decade produce today mouth.,"Ali, Wilson and May",station,SEFP03335317898418,PENDING,False,d99b33df-9f4c-4269-9cb9-29962cdd58b6
8481263105,75826879,2024-03-28 00:39:58,2024-03-28 00:39:58,FEE,ATM,210.53,USD,Along staff agency.,"Sweeney, Valentine and Bonilla",another,FDHS30233600288315,PENDING,False,aa43d950-5dc1-4ce7-96a6-d5970b43cc99
890506808,7937186346,2025-10-21 12:02:59,2025-10-22 12:02:59,DEBIT,BRANCH,69.92,USD,Significant work bad wide establish.,Williams PLC,sense,LHBB29818960439046,FAILED,False,e5815778-721a-4136-938f-361f3b594e10
3298492467,7621457701,2024-10-31 19:24:31,2024-11-01 19:24:31,CREDIT,MOBILE,25.62,USD,Seven nearly know different middle bar vote.,Solis PLC,behavior,EHUA65708175589596,COMPLETED,False,e085ccf5-46f6-4a93-b213-05a9d7564c15
6702344320,7121191419,2022-09-20 03:52:40,2022-09-22 03:52:40,CREDIT,ONLINE,74.44,USD,Sister civil only.,"Simmons, Boyd and Harris",nearly,PIFY47734578068707,FAILED,False,511d0af8-1fd0-44fb-903d-4aa0700ef6e8
3310144674,4153390064,2020-08-17 11:08:13,2020-08-17 11:08:13,DEBIT,ATM,75.97,USD,Reason manage score chair.,"Gardner, Long and Esparza",newspaper,HAVE42266779162323,FAILED,False,6b733403-61d2-4197-9636-9432d115c653
1043899222,2756857416,2025-03-30 10:51:42,2025-03-30 10:51:42,DEBIT,ATM,68.97,USD,Yes recognize religious issue.,Miller and Sons,power,JZCK20726074361056,PENDING,False,fcc656f2-3567-4f73-b5d7-8d3003ca0e91
5498938076,7752491404,2022-12-03 17:35:48,2022-12-03 17:35:48,DEBIT,ATM,14.31,USD,Include center size option forget.,Rivera-Beck,likely,PKAY90780238806731,PENDING,False,1dbba083-33ee-4d7d-9b78-743f6968b822
8925161299,8324782552,2023-08-01 09:27:27,2023-08-03 09:27:27,INTEREST,MOBILE,309.21,USD,South usually walk wife half.,Larsen Inc,indeed,PWUA35556210753452,COMPLETED,False,1e771510-8e2a-41a1-84fe-075849c2008b
2972769333,698109472,2022-09-19 02:24:14,2022-09-20 02:24:14,CREDIT,MOBILE,429.97,USD,Method team more agreement health option.,Williams-Moran,family,NIVK07021710742859,COMPLETED,False,b1f1e9f7-83b9-4586-9bc6-c00551db398f
